date,precipMM,DewPointC,DewPointF,FeelsLikeC,FeelsLikeF,HeatIndexC,HeatIndexF,WindChillC,WindChillF,WindGustKmph,WindGustMiles,cloudcover,humidity,pressure,pressureInches,tempC,tempF,time,uvIndex,visibility,visibilityMiles,weatherCode,winddirDegree,windspeedKmph,windspeedMiles
1-1-2009,13.5,23,73,28,82,28,82,25,77,13,8,57,88,1008,30,27,81,24,6,9,5,116,249,9,5
2-1-2009,7.7,23,73,27,81,27,81,25,76,15,9,50,89,1009,30,26,79,24,6,9,5,116,246,10,6
3-1-2009,0.4,22,72,27,81,27,81,25,77,17,11,18,85,1009,30,27,81,24,6,10,6,113,253,12,8
4-1-2009,2.6,22,72,27,81,27,81,25,76,18,11,33,87,1009,30,27,81,24,6,10,6,116,264,12,8
5-1-2009,0.9,22,72,28,82,28,82,25,77,15,9,31,82,1009,30,28,83,24,7,10,6,116,265,11,7
6-1-2009,1.1,22,72,28,83,28,83,26,78,16,10,19,82,1009,30,29,84,24,7,10,6,113,267,11,7
7-1-2009,2.7,23,73,28,83,28,83,25,78,11,7,45,85,1010,30,27,80,24,7,10,6,116,279,8,5
8-1-2009,7.4,23,73,27,80,27,80,24,76,13,8,54,90,1011,30,25,77,24,6,9,5,116,260,9,5
9-1-2009,18.1,22,72,26,78,26,78,23,74,19,12,79,92,1011,30,24,75,24,5,8,5,119,263,12,7
10-1-2009,2.8,22,72,27,81,27,81,25,77,19,12,36,86,1010,30,27,80,24,6,10,5,116,263,13,8
11-1-2009,8.6,22,72,26,80,26,80,24,75,22,14,55,89,1010,30,26,78,24,5,9,5,119,266,15,9
12-1-2009,1.8,22,72,28,82,28,82,25,77,13,8,46,87,1011,30,27,80,24,6,10,6,116,280,9,6
13-01-2009,3.9,22,71,26,79,26,79,24,75,11,7,65,90,1012,30,25,77,24,5,10,5,119,273,7,5
14-01-2009,4.2,22,72,27,81,27,81,25,76,14,9,44,87,1011,30,27,81,24,6,10,6,113,298,10,6
15-01-2009,6.9,22,72,27,80,27,80,24,76,19,12,59,89,1012,30,26,79,24,6,9,5,116,269,13,8
16-01-2009,3.8,22,72,27,80,27,80,24,76,21,13,45,88,1012,30,26,79,24,6,10,6,113,267,14,9
17-01-2009,2.6,22,72,27,81,27,81,25,76,17,11,34,87,1011,30,27,80,24,6,10,5,116,271,12,7
18-01-2009,2.5,22,72,27,81,27,81,25,77,14,9,26,86,1010,30,27,81,24,6,10,5,116,284,10,6
19-01-2009,1.9,23,73,28,82,28,82,25,77,14,9,27,86,1010,30,27,81,24,6,10,5,116,291,10,6
20-01-2009,4.3,23,73,28,82,28,82,25,77,10,6,30,87,1009,30,27,81,24,6,10,5,116,270,7,4
21-01-2009,2,23,73,28,82,28,82,25,77,8,5,42,87,1009,30,27,80,24,6,10,6,116,311,6,4
22-01-2009,2.9,23,74,29,84,29,84,26,78,10,6,26,86,1009,30,28,82,24,7,10,6,116,276,7,4
23-01-2009,3,23,74,29,85,29,85,26,79,6,3,33,86,1009,30,29,84,24,7,10,6,116,293,4,2
24-01-2009,7.8,23,74,28,82,28,82,25,77,11,7,43,89,1009,30,27,81,24,6,9,5,116,295,7,4
25-01-2009,5.3,23,74,28,83,28,83,25,78,13,8,40,89,1009,30,27,80,24,7,9,5,116,285,9,6
26-01-2009,22.3,23,74,27,81,27,81,25,76,12,7,63,91,1009,30,27,80,24,5,9,5,122,263,8,5
27-01-2009,8.8,23,74,28,82,28,82,25,77,18,11,57,90,1009,30,27,80,24,6,10,5,116,270,12,7
28-01-2009,17.6,23,74,28,82,28,82,25,77,18,11,67,91,1008,30,26,79,24,5,9,5,356,257,11,7
29-01-2009,16.2,23,74,28,82,28,82,25,77,15,9,66,92,1009,30,26,80,24,5,8,4,119,254,9,6
30-01-2009,30.6,23,73,27,80,27,80,24,75,13,8,73,93,1008,30,25,77,24,5,7,4,119,246,9,5
31-01-2009,22.7,23,73,27,80,27,80,24,75,7,4,84,93,1009,30,25,77,24,5,7,4,119,229,5,3
1-2-2009,10.1,23,73,27,81,27,81,25,76,11,7,62,90,1010,30,26,79,24,6,9,5,116,251,7,4
